Wikipedia 	930: Hucbaldo, monje y ⁇  de la zona de ⁇  (artículo 840).	930: Hucbaldo, monje ha atõi ojapóva Hyãsia pegua (ary reñói 840).
Wikipedia 	La flora Alejandra Pizarnik (Buenoss Aires, 29 de abril de 1936- ibidem, 25 de setiembre de 1972) es lengua de origen argentino.	Flora Alejandra Pizarnik (Buenos Aires, 29 jasyrundy1936- ibidem, 25 jasyporundy1972) ñe'ẽpapára Argentinagua.
Wikipedia 	Pocos trabajadores del sector primario, aproximadamente, fueron el 56,0%.	Mboýpa tapichakuéra omba'apóva sector primario rupi, 56,0%.
Wikipedia 	Todo esto lo haremos, si Dios nos lo permite.	Opa ko'ã mba'e rehe ñanemandu'ávo pe ñane korasõ oryrýi ha ndaikatúi jajoko tesay.
Wikipedia 	Fue vista el 31 de octubre de 2018.	Ojehechákuri árape: 31 de octubre de 2018.
Wikipedia 	Comenzó en la ciudad de Bariloche desde el día 7 de diciembre del año 2012.	Oñepyrũ iñembyasai táva Bariloche guive ára 7 jasypakõi, ary 2012-pe.
Wikipedia 	César Alonso de las Heras y Juan Manuel Marcos, quien en un escrito entregaba estudiantes y estudiaba literatura paraguaya, le dijeron: "El Campos Cervera es el padre de la literatura paraguaya contemporánea.	César Alonso de las Heras ha Juan Manuel Marcos, peteĩ jehaipýpe ome'ẽva temimbo'e ha oñemoarandúva literatura paraguaya rehe, he'i chupekuèra: "Campos Cervera ha'eha upe túva literatura paraguaya contemporánea-pe.
Wikipedia 	1973: Claudia Löwith, la superviviente de la zona del euro.	1973: Karl Löwith, filósofo Alemáña pegua (ary reñói: 1897).
Wikipedia 	1980: Giorgio Améndola, escritor y estudioso de la Universidad de ⁇  (en la Universidad de ⁇ ).	1980: Giorgio Améndola, haihára ha ojokuaikuaáva Itália pegua (ary reñói 1907).
Wikipedia 	1861: Pierre Duhem, médico de ⁇ , historiador de la isla de ⁇  (quien falleció: 1916).	1861: Pierre Duhem, pohanohára, matemático e historiador Hyãsia pegua (ary omano: 1916).
Wikipedia 	Los hijos de Rousseau y de los lluviosos, quienes son los primeros en nacer, son los primeros en nacer.	Rousseau ha tetãygua reko, Poytugañe'ẽme Mitãra'y (karaiñe'ẽ: bebé) mitã heñói ramóva.
Wikipedia 	El otro día en Asunción, la operaria de la compañía "violin" a través de Remberto Giménez en el Instituto Paraguayo.	Ambue ára katu Paraguaýpe oñembo'eyka ombopukuaa hag̃ua "violín" itio mbo'ehára Remberto Giménez rupive "Instituto Paraguayope".
Wikipedia 	González, Natalicio.	González, Natalicio.
Wikipedia 	Se celebra el día 16 de abril del año 1869.	Oiko peteĩháme ára 16 jasyrundy ary 1869-pe.
Wikipedia 	Brígido Alvares no quiere ser amigo tuyo por tu apoyo a Castro.	Brígido Alvares ndopotai ha'e iangirũ nepytyvõ jere ha'e ihóga Castrope.
Wikipedia 	COI.	COI.
Wikipedia 	1903: Gaspar Núñez de Arce, el intérprete de la ley religiosa.	1903: Gaspar Núñez de Arce, ñe'ẽpapára Espáña pegua.
Wikipedia 	En el caso de los ⁇ , son seres mortales los que reciben la décima parte del botín.	Mbohapyjasy peteĩháme ikatuve oiko membykua rei (omano reírõ mitãñepyrũ térã mitãrã).
Wikipedia 	El top 10 de Battles for the Control of Iraq de Wikimedia Commons tiene una gran colección de retratos de Irake.	Top 10 Battles for the Control of Iraq Wikimedia Commons oguereko ta'ãnga Irake reheguaCommons.
Wikipedia 	La ciudad de San ⁇  es la segunda entre las tribus de Rusia y la décima parte de la provincia de Asia.	Ko'ãga San Petersburgo hína táva mokõiha orekovéva yvypóra kuéra ipype Rrusia retãme ha peteĩva umíva tava guasuvéve opa Európa pegua.
Wikipedia 	El día de San José, 19 de marzo, se instaló en el siglo XV y desde el año 1621 se empezó a traer el mensaje a todas las iglesias.	Hose Marangatu ára, 19 jasyapy, oñemopyendákuri sa'ary'aty XV-pe ha ary 1621 guive herakuã opaite tupão rupi.
Wikipedia 	En 1913 nació la Revista Paraguaya.	1913-pe omoheñói va'ekue Revista Paraguaya.
Wikipedia 	29 cm. en cada año.	29 jasyteĩ ha'e mokõipa irundyha ára arygua.
Wikipedia 	En esta colonia menonita, pese a la gran cantidad de indígenas que viven acá, donde les dan clases, tienen hijos que ir a diario a comprar y también dinero.	Ko colonia menonita opu'ä rupi, hetaiteri ypykuéra oho ko'ápe, oñeme'ëhápe chupekuéra ñemoarandu, hasýramo oho tasyópe ha avei pirapire jepuru rehegua.
Wikipedia 	Una imagen de su diario sobre el tema “El Gráfico” que recorrió el universo muestra una de sus historias.	Ta'anga kóva rehegua oguenohëva'ekue peteï mba'apohára kuatiahaipyre "El Gráfico" pegua ohóva'ekue arapy tuichakue ohechauka haguä mba'épa oikova'ekue.
Wikipedia 	Las comunidades indígenas que aún viven en ellas y que no cambian sus sociedades, viven en el norte del chaqueño, donde pueden conocer la verdad (su cultura) y pueden contener sus artesanías.	Tavayguua indígena oiko gueteri ipype ha omotenonde ijeroviapy ha nomoambuéi teko ijypykuéra ohejava'ekue chupekuéra, pevahína hekovekue norte chaqueño gotyo, ko'ápe ikatu ojekuaa ikuaandy añeteguáva (su cultura) ha ikatu ojejogua artesanía ha'ekuéra ojapóva voi.
Wikipedia 	Esta ciudad se llenará de lluvia en 1933 y enero.	Ko távape okyve jasyteĩ ha jasyrundýpe.
Wikipedia 	Le gustaba escribir poesías y también hizo teatro con el grupo llamado "Teatro de Laboratorio" hacia el año 1972.	Oguerohorýgui, ohaími ñe'ẽpoty ha avei oikojepékuri chugui ñoha'ãngára ha upeichahápe oîjepe aty hérava "Teatro de Laboratorio"-pe amo 1972 rupi.
Wikipedia 	Newton fue el primero en decir que la tierra es el estrado de los seres que están en el cielo.	Newton ha'e ava peteĩha he'íva ñande Yvy rekorã ha yvága mba'ekuéra rekorã ñemýire ipeteĩcha.
Wikipedia 	Durante muchos años el padrón fue la Sociedad Argentina de Autores y Compositores de Música SADAIC.	Heta ary jevyy omyakã va'ekue hetaiterei atykuéra ha'eva Sociedad Argentina de Autores ha Compositores de Música SADAIC.
Wikipedia 	1979: Nelida Béjar, autora de música de la diáspora.	1979: Nélida Béjar, purahéi haihára Epáña pegua.
Wikipedia 	Jesús, por su parte, murió en la cruz, en el lugar llamado Gólgota.	Upevakuére Hesu ojegueraha omano hag̃ua kurusúre, tenda héravape Gólgota.
Wikipedia 	Estudió en la Escuela Municipal de Arte Escénico donde también asistió a actividades de teatro.	Oike oñemoarandu Escuela Municipal de Arte Escénico-pe ha upépe avei oñepyrü oike ñoha'änga atýpe.
Wikipedia 	Cuando el 24 de mayo de cada año la gente disfrutaba de un descanso sabático, trabajaba sin descanso, cuidaba de los enfermos y cuidaba de los enfermos hasta que se acercaba el día.	Akytã 24 Mayma yvypóra oguereko derecho opytu'úvo, ho'ureimivo nombaápoi jave; avei omba'apóvo omba'apo hag̃ua ha'óra pevénte, ha ivacaciónvo oguahẽ vove jepi tiempo, ha upe aja ojepagávo ichupe.
Wikipedia 	1975: Gastón Mazzacane, piloto de Argentina	1975: Gastón Mazzacane, piloto Argentinagua.
Wikipedia 	Y Melquisedec, que era de la ciudad de Tiatira y de la ciudad de Tiatira, sacerdote del Dios altísimo,	Méhiko (karaiñe'ẽ: México [ˈmexiko]), hérava avei Tetã peteĩ reko Méhikogua (karaiñe'ẽme: Estados Unidos Mexicanos,) ha'e peteĩ tetã ñemby Yvateamérika pegua.
Wikipedia 	1950: Conrado Domínguez, pintor de la zona de ⁇ .	1950: Conrado Domínguez, pintor Méhiko pegua.
Wikipedia 	Afectado en el año 2011, un total de 603.502 ciudadanos expresaron su descontento.	Oreko ipype 603.502 tavayguakuéra ary 2011-pe, oñe'ẽ ingyaterrañe'ẽ.
Wikipedia 	A través de ese pedido de la Ley Guasu de 1967, se estableció en el Art. 5o, que decía: "Español y Guarani son los principales idiomas del Paraguay, por su tamaño es el español", y también en el Art. 92, que decía: "El Estado del Paraguay debe proteger la lengua Guarani y procurar implementarla en la educación, el desarrollo y la ⁇ ".	Upe mba'ejerure rupive Léi Guasu 1967 guarépe, oñemopyendákuri Art. 5º, he'iva'ekue: "Español ha Guarani ha'eha Paraguay ñe'ẽte, ága tetã ñemotenondépe ojepuruvéta Español", ha avei Art. 92, he'ivakue: "Paraguay retã oñangarekova'erã Guarani ñe'ẽtére ha oñeha'ãmbaiteva'erã omoinge tekombo'épe, omotenonde ha ombohekokatuve".
Wikipedia 	1444: Juan Beaufort el Joven, cadete inglés (y ⁇ : 1404).	1444: Juan Beaufort el Joven, ruvicha inglés (ary reñói: 1404).
Wikipedia 	La educación que han llevado hasta aquí los estudiantes es el concepto de la Bolsa Nerandy, representado por el presidente Cástulo Garcete.	Tekoha og̃uahẽhague umi temimbo'ekuéra ha'ehína Ka'aguy Porã (Narandy), omotenondéva mburuvicha Cástulo Garcete.
Wikipedia 	Los investigadores de la Universidad de Asunción le apoyan y realizan estudios en el campo de la investigación de la producción de animales y de la ⁇  en Maka, Ayoreo, Ache-Guayaki y Tova.	Tekove'aty tembikuaahára Paraguay-gua oipytyvõ ichupe ha otembiapokuaareka arandukuaa mymba jejuka ha mba'e ñembyatýre te'ỹinguéra Maka, Ayoreo, Ache-Guayaki ha Tova rehe.
Wikipedia 	2002: José Lutzemberger, ecologista y agrariomo brasileño (que también pertenece al grupo EDF).	2002: José Lutzemberger, ecologista ha agrónomo brasileño (ary reñói 1926).
Wikipedia 	2009: Ralf Dahrendorf, estudiante y traductor anglo-germanó (aproximadamente en 1929).	2009: Ralf Dahrendorf, avano'õre oñemoarandúva ha ojokuaikuaáva anglo-germano (ary reñói 1929).
Wikipedia 	1990: Kyle Walker, que es el auténtico profeta de ⁇ ,	1990: Kyle Walker, húvol ha'ãhára Vyretáña pegua.
Wikipedia 	En 1970 retornó a Corrientes – Argentina, como él mismo dijo, con su hombría; al frente de la "Orquesta y Coro Municipal del Teatro Juan Torres de Vera", y en la "Orquesta Folklorica de la provincia de Corrientes" también.	Oñepyruro 1970 ohojey Corrientes – Argentina pe ha'e hei'háicha oikoha hogapeguarói; upepe omyakã "Orquesta y Coro Municipal del Teatro Juan Torres de Vera", ha "Orquesta Folklorica de la Provincia de Corrientes" avei upérõ.
Wikipedia 	La mesa, Indígenas chaqueños: Roberto Holden El mercado Guasú, Calle Palma: Ignacio Núñez Soler La Chacarita: Alicia Bravard Personajes del Mercado de Asunción: Estatuallidas realizadas por Serafín Marsal(1861 – 1951).	La mestiza, Indígenas chaqueños: Roberto Holden El mercado Guasú, Calle Palma: Ignacio Núñez Soler La Chacarita: Alicia Bravard Personajes del Mercado de Asunción: Estatuallidas realizadas por Serafín Marsal(1861 – 1951).
Wikipedia 	1985: Jon Kortamena, modélo y ⁇  de la isla.	1985: Jon Kortajarena, modélo ha mba'eapohára Espáña pegua.
Wikipedia 	Aníbal Lovera - 23 ⁇  ⁇  1993-1994-1995...	Aníbal Lovera - 23 jasyteĩ ...1993-1994-1995...
Wikipedia 	Raúl Amaral Manuel Franco.	Raúl Amaral Manuel Franco.
Wikipedia 	En esta ciudad había una población de 24.727 personas (en marzo de 2010) y su hermano menor tenía 3 108.018 Km2.	Ko távape oĩ 24.727 tavayguakuéra (ary 2010 jave) ha hi'yvy pehẽngue hína 3 108,018 Km².
Wikipedia 	1963: Roberto Alagna, tenor de Claudio.	1963: Roberto Alagna, tenor Hyãsia pegua.
Wikipedia 	1927: Natalia Chacón, Primera Dama de la zona del euro ( ⁇  1879).	1927: Natalia Chacón, Primera Dama Méhiko pegua (ary reñói 1879).
Wikipedia 	Al acercarse, ⁇ is es el hogar más alto del mundo, pasa por el World Trade Center con su brazo extendido en la ciudad de Nueva York, y entre 20 años es el hogar más alto del mundo.	Ojejogapopávo, Willis tuicha óga yvatevéva opaite yvórape, ohasa World Trade Center hi'yvatekue táva Nueva York pegua, ha 20 ary aja niko óga yvatevéva pavẽgua.
Wikipedia 	El otro, Catibaña, habla sobre 320 kirguisos, mientras que el otro habla sobre Rondonia (año 2005).	Ambueva, karitiãna, oñe'ẽva 320 avakuéra, tetãvore Pindoramapegua Rondônia (ary 2005).
Wikipedia 	Se llamaba Zavala.	Hérakuri Zavala-kue.
Wikipedia 	El pájaro amarillo (llamado: Xanthopsar flavus, flevo: Tordo amarillo) es un pájaro que vive en el campo de juego que está en Argentina, Brasil, Uruguay y Paraguay. http://guaraniportugues.blogspot.com/2011/03/mimbaty-fauna-guyra-aves-1. Idioma de Callao: Kalaw, mi primera ciudad	Chopĩ sa'yju (lasioñe'ẽ: Xanthopsar flavus, karaiñe'ẽ: Tordo amarillo) ha'e guyra oikóva ñu pa'ũ oĩva Argentina, Brazil, Uruguái ha Paraguáipe. http://guaraniportugues.blogspot.com/2011/03/mymbaty-fauna-guyra-aves-1.html Callao runa simi: Kallaw, ha'ehína táva Perũ, oĩ kuarahy resẽ tetã retãme.
Wikipedia 	En el año 1927, las estrellas del cielo aparecieron en la parte más recóndita de la tierra.	Ary 1927 omoañete Mborevi Rape ojere jere, ohesaỹ'ijógui mba'éicha mbyja kuéra omýi yvágare.
Wikipedia 	El día fue elegido por el parlamento, en el País Vasco, del país que vive actualmente la Asamblea Legislativa del Trabajo del Avate, en recordación de los trabajadores que fueron asesinados en Chicago, Estados Unidos, por lo que suman ocho horas de trabajo diario en la República Checa.	Ko ára ojeporavókuri 1889, Parĩ, Hyãsia retãme, oikórõguare peteĩ Mba'apohára Ava'atyrekoguáva Amandaje, ojegueromandu'ávo umi mba'apohára ojejukava'ekue Chicago, Estados Unidos-pe, ojerurehaguére poapy aravo omba'apo hag̃ua, ára ha ára, imba'apohápe.
Wikipedia 	Entre sus obras se encuentra el grabado de "María de Nazaret", "Que cercano tu recuerdo", "Silencio", "Rosario y Vía Crucis", "Antología", "Navidad-Varaciones" y "Más que dure lo que he deseado"; el misterio dramático "San Blas" y la obra teatral "Jalones de Gloria", en los últimos cinco años	Hembiapokue oĩ ñe'ẽpoty ryru "María de Nazaret", "Que cercano tu recuerdo", "Silencio", "Rosario y Vía Crucis", "Antología", "Navidad-Variaciones" y "Más que tú lo he deseado"; el misterio dramático "San Blas" y la obra teatral "Jalones de Gloria", kóva popa ary Colegio de San José rembiasakue rehegua.
Wikipedia 	Angelo Giusseppe Roncalli nació el día 25 de 1938 en el año 1881 en Sotto il Monte, Bérgamo en el país de Berlusconi, Italia; fue el cuarto de doce hermanos.	Angelo Giusseppe Roncalli heñóikuri ára 25 jasypateĩ ary 1881-pe Sotto il Monte-pe, Bérgamo tetãpehẽ, Italia retãme; ha'éniko irundyha paapy joyke'y apytépe.
Wikipedia 	CS: Jaime Toha, diputado de Chile.	1938: Jaime Tohá, ojokuaikuaáva Chilegua.
Wikipedia 	Entre las lenguas dravídikas, el tamil que más se parece al malavar, somos nosotros los que después de Cristo somos el primero y el segundo en provenir de una sola palabra, cuyo nombre era tamil; el tamil y el malavar no se habían interpuesto desde la raíz hasta la época de XIII o XIV en Tamil, donde una secta se dividió en grande, por lo tanto, amablemente, podemos saber	Ñe'ẽ ñemoñare dravídika apytépe, tamil ha'e ojoguavéva malavar-pe, sa ro'y IX Kirito rire-pe ha'e rupi mokõivéva ñe'ẽnunga oúva peteĩ ñe'ẽguinte, iñe'ẽharakuérape oñembohérava'ekue tamil; tamil ha malavar ndojeíriva'ekue ojoehegui sa ro'y XIII térã XIV-rupi peve Tamil ojeiporuháicha peteĩ tekoñomoirũme ojoavy tuicha ojoapytépe, upéicha rupi, py'ỹinte, ikatu jaikuaa iñe'ẽ rupive mba'e ñemoñaréguipa ou.
Wikipedia 	1984: Carmelo ⁇ , la reina de Etiopía,	1984: Carmelo Anthony, baloncestista Tetãvore Joapykuéra pegua.
Wikipedia 	2011: Juan Ramón Sáenz, locutor de la zona de ⁇  (y ⁇ : 1964).	2011: Juan Ramón Sáenz, locutor Méhiko pegua (ary reñói: 1964).
Wikipedia 	1960: Axel Rudi Pell, guitarra con el resultado de un error en la unidad de datos.	1960: Axel Rudi Pell, mbaraka ombopúva Alemáña pegua.
Wikipedia 	Ellos comenzaron a orar y a mirarse unos a otros, pero el rostro de Jesús se desvaneció.	Ko'ãva oñepyrũ ñe'ẽjoajúpe (oración) ha ñehesa'ỹijo rupive ohupyty taipu (fonema), ha'evahína ñe'ẽ vore mirĩvéva, ndikatu-véiva oñemboja'o.
Wikipedia 	1983: Gilles Müller, tenista luxemburgues.	1983: Gilles Müller, tenista luxemburgués.
Wikipedia 	Mcal.	Mcal.
Wikipedia 	1952: Frances Fisher, obra británica.	1952: Frances Fisher, mba'eapohára británica.
Wikipedia 	La Constitución: Volivia, Paraguay, la Ciudad de Argentina: Clorinda, Paraguay Ypy: Andes Paha: río Paraguay Uhéi (Bissau: Sed) tendrá escasez.	Tetã: Volivia, Paraguái, Argentina Táva: Clorinda, Paraguay Ypy: Andes Paha: ysyry Paraguái Uhéi (karaiñe'ẽ: Sed) ñeikotevẽ'y je'úre.
Wikipedia 	Radio Ycuamandyju, Ñasaindy, y FM: Santani, Choré, Amistad, San Estanislao, Tapirakuai, La voz del Campesino, Libertad.	Puhoe AM-va ko'ãva: Radio Ykuamandyju, Ñasaindy; ha FM-va katu: Santani, Choré, Amistad, San Estanislao, Tapirakuãi, La voz del Campesino, Libertad.
Wikipedia 	1913: Juan Criado, el verdadero poeta y escritor de canciones peruanas (la muerte en el año 1978).	1913: Juan Criado, vakapipopo ha'ãhára, cantautor ha purahéi haihára Perugua (ñemano ary 1978).
Wikipedia 	1580: Gaspar de Borja y Velasco, la nave cardinal de La Haya (muerte en el año 1645).	1580: Gaspar de Borja y Velasco, cardenal Epáña pegua (ñemano ary 1645).
Wikipedia 	La historia de nuestro país se propagó hace más de 2.000 años y a través de ella se inundó una variedad de culturas y culturas.	Tetã Kirigitã rembiasakue oñemyasãi amo 2.000 ary rupive ha ipype oike opaichagua avano'õ ha tetã ymaguare.
Wikipedia 	La Ciudad de Des Moines Otra Ciudad: el Centro Nacional de Cedar Rapids (ONU), en el año 1990, eligió el día 1 de octubre del Día de los Mayores, que fue sede en el año ⁇  de la Asamblea Legislativa Uno de los Primeros y Magos.	Táva guasu: Des Moines Ambue táva: Cedar Rapids Tetãita Atyha (ONU), ary 1990-pe, oiporavókuri ára 1 jasypagua Kakuaavéva Ára ramo, heñoi'ypyva'ekue ary 1982-pe oikórõguare Amandaje Yvoragua Peteĩha itujáva ha ig̃uaig̃uíva rehegua.
Wikipedia 	Su cabeza, su cabellera y su hocico son azules; sus colas son rojas, sus pies son negros.	Iñakã, ijahy'o ha ijatukupe hovyũ kangy; huguái ha ijatukupe guy pytãmi; ipy'a ha ipyti'a hũngy.
Wikipedia 	2006: Raúl Primatesta, cardenal de la Federación Argentina (CRE: ⁇ ).	2006: Raúl Primatesta, cardenal Argentina pegua pegua (heñói: 1919).
Wikipedia 	Francisco de Asís nació en el año 1181 ó 1182, en la ciudad de Asis, Italia.	Francisco de Asís heñoi'akue ary 1181 ỹramo ary 1182-pe, táva Asis, Italia retãme.
Wikipedia 	Esta pluma de ave es para la mujer "Gusus" y "Cupyju" o "Gususme" de hombres.	Ko guyra hera ha'e "Ryguasu" kuñare ha "Kupyju" térã "Ryguasume" kuimba'ere.
Wikipedia 	Desde 1984 hasta el año 2017, Marruéko, uno de los paisanos de ⁇ , no se atrevió a llamarse Juan.	Ary 1984 guive ary 2017 meve, Marruéko ha'e akue tetã peteĩva Áfrika pegua noĩri Áfrika Joatýpe.
